,Date,Close,Open,High,Low,Volume,Change
0,2011-09-15,8.23,8.2,8.31,8.09,2640000.0,0.008578431372548989
1,2011-09-19,8.16,8.33,8.33,8.08,854200.0,-0.004878048780487698
2,2011-09-20,8.2,8.15,8.2,8.13,526400.0,0.006134969325153339
3,2011-09-21,8.15,8.11,8.24,8.11,500600.0,0.03164556962025311
4,2011-09-22,7.9,8.11,8.17,7.83,3670000.0,0.023316062176165886
5,2011-09-23,7.72,7.89,7.89,7.55,5820000.0,0.08274894810659195
6,2011-09-26,7.13,7.6,7.6,7.0,3990000.0,0.001404494382022392
7,2011-09-27,7.12,7.2,7.34,7.1,6220000.0,0.0014064697609001975
8,2011-09-28,7.11,7.2,7.21,7.03,4450000.0,-0.006983240223463638
9,2011-09-29,7.16,7.07,7.19,6.95,4990000.0,0.02285714285714291
10,2011-09-30,7.0,7.27,7.35,6.97,5430000.0,0.046337817638266054
11,2011-10-03,6.69,6.99,6.99,6.69,3470000.0,0.0182648401826484
12,2011-10-04,6.57,6.61,6.64,6.57,3290000.0,-0.0030349013657055
13,2011-10-05,6.59,6.6,6.62,6.53,2730000.0,-0.016417910447761197
14,2011-10-06,6.7,6.63,6.86,6.63,4139999.9999999995,0.009036144578313365
15,2011-10-07,6.64,6.75,6.75,6.61,2320000.0,0.016845329249617125
16,2011-10-10,6.53,6.65,6.65,6.53,3100000.0,-0.039705882352941146
17,2011-10-11,6.8,6.62,6.8,6.62,4570000.0,-0.09333333333333338
18,2011-10-12,7.5,6.77,7.5,6.75,5400000.0,0.008064516129032251
19,2011-10-13,7.44,7.5,7.55,7.31,4019999.9999999995,-0.005347593582887722
20,2011-10-14,7.48,7.4,7.77,7.37,2550000.0,0.010810810810810922
21,2011-10-17,7.4,7.58,7.63,7.4,2009999.9999999998,0.0277777777777779
22,2011-10-18,7.2,7.37,7.37,7.09,4780000.0,0.0
23,2011-10-19,7.2,7.23,7.26,7.18,2420000.0,0.008403361344537785
24,2011-10-20,7.14,7.18,7.2,7.12,921700.0,0.0014025245441795509
25,2011-10-21,7.13,7.16,7.2,7.03,1780000.0,-0.019257221458046758
26,2011-10-24,7.27,7.19,7.29,7.17,1520000.0,-0.0122282608695653
27,2011-10-25,7.36,7.28,7.38,7.28,4080000.0,-0.036649214659685736
28,2011-10-27,7.64,7.37,7.72,7.37,7280000.0,-0.003911342894393766
29,2011-10-28,7.67,7.72,7.75,7.48,3680000.0,-0.003896103896103953
30,2011-10-31,7.7,7.69,7.71,7.47,2080000.0,0.03217158176943702
31,2011-11-01,7.46,7.59,7.69,7.46,1470000.0,0.008108108108108025
32,2011-11-02,7.4,7.37,7.43,7.36,1800000.0,0.015089163237311354
33,2011-11-03,7.29,7.4,7.4,7.24,1510000.0,-0.031872509960159445
34,2011-11-04,7.53,7.35,7.53,7.35,903200.0,0.006684491978609541
35,2011-11-08,7.48,7.56,7.58,7.45,1350000.0,0.0
36,2011-11-09,7.48,7.51,7.56,7.44,524500.0,0.019073569482289
37,2011-11-10,7.34,7.35,7.38,7.34,781300.0,0.009628610729023324
