,Date,Close,Open,High,Low,Volume,Change
0,2011-09-02,8.72,9.0,9.0,8.69,12920000.0,-0.001145475372279492
1,2011-09-05,8.73,8.72,8.75,8.7,12390000.0,0.005760368663594528
2,2011-09-06,8.68,8.72,8.72,8.68,11480000.0,0.0011534025374855261
3,2011-09-07,8.67,8.7,8.7,8.64,5730000.0,-0.0023014959723820505
4,2011-09-08,8.69,8.71,8.74,8.67,4690000.0,0.0
5,2011-09-09,8.69,8.7,8.7,8.68,5090000.0,0.009291521486643362
6,2011-09-12,8.61,8.65,8.68,8.55,8590000.0,0.0011627906976743319
7,2011-09-13,8.6,8.58,8.61,8.55,3620000.0,0.0
8,2011-09-14,8.6,8.64,8.64,8.57,10240000.0,0.0011641443538998875
9,2011-09-15,8.59,8.62,8.62,8.57,7590000.0,0.004678362573099282
10,2011-09-19,8.55,8.59,8.59,8.52,9320000.0,0.0
11,2011-09-20,8.55,8.49,8.57,8.45,8520000.0,0.0
12,2011-09-21,8.55,8.56,8.57,8.51,11050000.0,0.017857142857142794
13,2011-09-22,8.4,8.55,8.55,8.33,8670000.0,0.051314142678347885
14,2011-09-23,7.99,8.35,8.35,7.95,20960000.0,0.06391478029294273
15,2011-09-26,7.51,7.92,7.92,7.35,21710000.0,-0.04574332909783996
16,2011-09-27,7.87,7.6,7.99,7.6,16300000.0,-0.012547051442910906
17,2011-09-28,7.97,7.91,7.98,7.86,8440000.0,-0.0012531328320802837
18,2011-09-29,7.98,7.85,7.98,7.85,6060000.0,-0.0024999999999999467
19,2011-09-30,8.0,8.0,8.11,7.83,8750000.0,0.011378002528444897
20,2011-10-03,7.91,7.96,7.99,7.77,6120000.0,0.0038071065989848663
21,2011-10-04,7.88,7.82,7.92,7.75,5430000.0,-0.01622971285892638
22,2011-10-05,8.01,7.88,8.02,7.88,4370000.0,-0.019583843329253336
23,2011-10-06,8.17,8.0,8.23,8.0,8130000.000000001,-0.0012224938875304847
24,2011-10-07,8.18,8.2,8.27,8.13,7230000.0,-0.0024390243902439046
25,2011-10-10,8.2,8.13,8.2,8.13,3050000.0,-0.0060606060606061
26,2011-10-11,8.25,8.28,8.31,8.19,8170000.0,-0.0036231884057970065
27,2011-10-12,8.28,8.25,8.3,8.2,4770000.0,0.0
28,2011-10-13,8.28,8.28,8.35,8.27,7480000.0,-0.0012062726176115257
29,2011-10-14,8.29,8.34,8.34,8.27,2620000.0,-0.004801920768307433
30,2011-10-17,8.33,8.31,8.42,8.31,5180000.0,0.014616321559074219
31,2011-10-18,8.21,8.28,8.3,8.17,5300000.0,-0.003640776699029069
32,2011-10-19,8.24,8.28,8.28,8.2,4380000.0,0.0
33,2011-10-20,8.24,8.25,8.25,8.2,6020000.0,-0.00121212121212122
34,2011-10-21,8.25,8.24,8.25,8.21,3470000.0,0.0
35,2011-10-24,8.25,8.3,8.37,8.25,6100000.0,-0.002418379685610539
36,2011-10-25,8.27,8.28,8.33,8.25,4030000.0000000005,-0.0024125452352231624
37,2011-10-27,8.29,8.28,8.32,8.24,14440000.0,-0.007185628742515049
38,2011-10-28,8.35,8.38,8.39,8.32,13100000.0,-0.0011961722488037507
39,2011-10-31,8.36,8.35,8.38,8.33,7450000.0,-0.0011947431302269385
40,2011-11-01,8.37,8.36,8.39,8.34,3370000.0,0.010869565217391353
41,2011-11-02,8.28,8.33,8.33,8.25,7760000.0,0.007299270072992581
42,2011-11-03,8.22,8.31,8.31,8.16,3570000.0,-0.0012150668286755595
43,2011-11-04,8.23,8.35,8.35,8.22,5450000.0,0.0012165450121655041
44,2011-11-08,8.22,8.3,8.31,8.19,6570000.0,0.0
45,2011-11-09,8.22,8.23,8.26,8.2,4960000.0,-0.0024271844660194164
46,2011-11-10,8.24,8.06,8.25,8.06,2580000.0,0.0
47,2011-11-11,8.24,8.28,8.28,8.16,2380000.0,-0.00121212121212122
48,2011-11-14,8.25,8.35,8.35,8.24,5290000.0,-0.002418379685610539
49,2011-11-15,8.27,8.23,8.27,8.23,3770000.0,-0.014302741358760529
50,2011-11-16,8.39,8.4,8.52,8.38,5490000.0,0.010843373493975905
51,2011-11-17,8.3,8.44,8.44,8.25,4890000.0,0.0060606060606061
52,2011-11-18,8.25,8.3,8.34,8.23,7810000.0,0.0060975609756097615
53,2011-11-21,8.2,8.2,8.25,8.2,5290000.0,0.0
54,2011-11-22,8.2,8.2,8.25,8.18,4560000.0,0.003671970624234966
55,2011-11-23,8.17,8.19,8.2,8.16,7490000.0,-0.0024420024420024333
56,2011-11-24,8.19,8.2,8.2,8.16,7540000.0,0.030188679245283012
57,2011-11-25,7.95,7.95,7.95,7.9,6040000.0,-0.00872817955112215
58,2011-11-29,8.02,8.0,8.1,7.96,6650000.0,-0.0337349397590363
59,2011-11-30,8.3,8.02,8.3,8.0,10010000.0,-0.010727056019070313
60,2011-12-01,8.39,8.4,8.5,8.35,13260000.0,0.010843373493975905
61,2011-12-02,8.3,8.36,8.38,8.29,6820000.0,0.0012062726176118588
62,2011-12-05,8.29,8.33,8.33,8.27,3070000.0,0.01097560975609757
63,2011-12-06,8.2,8.26,8.26,8.19,3330000.0,-0.012048192771084487
64,2011-12-07,8.3,8.19,8.3,8.16,6340000.0,0.010962241169305775
65,2011-12-08,8.21,8.29,8.29,8.19,3040000.0,0.007361963190184007
66,2011-12-09,8.15,8.16,8.17,8.13,3860000.0,-0.001225490196078427
67,2011-12-12,8.16,8.15,8.2,8.15,4019999.9999999995,-0.003663003663003539
68,2011-12-13,8.19,8.11,8.22,8.11,4480000.0,-0.0072727272727273196
69,2011-12-14,8.25,8.16,8.27,8.16,5260000.0,0.002430133657351119
70,2011-12-15,8.23,8.22,8.25,8.15,6310000.0,0.0024360535931788885
71,2011-12-16,8.21,8.24,8.24,8.18,4160000.0,-0.0012165450121653931
72,2011-12-19,8.22,8.2,8.24,8.16,3830000.0,-0.0024271844660194164
73,2011-12-20,8.24,8.22,8.26,8.21,4540000.0,-0.015531660692950866
74,2011-12-21,8.37,8.3,8.46,8.3,11840000.0,-0.009467455621301801
75,2011-12-22,8.45,8.39,8.45,8.37,3390000.0,0.011976047904191489
