,Date,Close,Open,High,Low,Volume,Change
0,2011-07-15,13.38,13.4,13.4,13.36,3510000.0,0.0029985007496251548
1,2011-07-18,13.34,13.36,13.36,13.32,2180000.0,0.003007518796992459
2,2011-07-19,13.3,13.34,13.34,13.28,1320000.0,-0.005979073243647215
3,2011-07-20,13.38,13.3,13.4,13.28,3630000.0,0.0014970059880241582
4,2011-07-21,13.36,13.4,13.4,13.34,1860000.0,-0.0044709388971684305
5,2011-07-22,13.42,13.38,13.42,13.38,2360000.0,0.004491017964071808
6,2011-07-25,13.36,13.44,13.46,13.32,1080000.0,-0.008902077151335397
7,2011-07-26,13.48,13.36,13.5,13.36,1940000.0,0.0014858841010401136
8,2011-07-27,13.46,13.48,13.5,13.42,1250000.0,0.0029806259314457684
9,2011-07-28,13.42,13.48,13.48,13.36,1170000.0,-0.0014880952380952328
10,2011-07-29,13.44,13.44,13.44,13.36,1920000.0,-0.0014858841010402246
11,2011-08-01,13.46,13.44,13.46,13.38,1540000.0,0.0029806259314457684
12,2011-08-02,13.42,13.46,13.46,13.4,1510000.0,0.0014925373134329067
13,2011-08-03,13.4,13.36,13.44,13.36,2350000.0,-0.0029761904761904656
14,2011-08-04,13.44,13.44,13.46,13.42,2770000.0,0.022831050228310446
15,2011-08-05,13.14,13.16,13.16,13.0,7900000.0,0.009216589861751334
16,2011-08-08,13.02,13.0,13.04,12.76,7530000.0,0.015600624024960874
17,2011-08-09,12.82,12.78,12.98,12.52,8289999.999999999,-0.009273570324574876
18,2011-08-10,12.94,13.0,13.02,12.82,2830000.0,0.009360374414976613
19,2011-08-11,12.82,12.8,12.92,12.72,4670000.0,-0.007739938080495334
20,2011-08-12,12.92,12.9,12.92,12.86,2980000.0,0.0
21,2011-08-15,12.92,12.92,12.94,12.88,2120000.0,-0.0015455950540957941
22,2011-08-16,12.94,12.98,13.0,12.92,2720000.0,-0.0030816640986133237
23,2011-08-17,12.98,12.96,13.0,12.96,3170000.0,-0.003072196620583667
24,2011-08-18,13.02,12.98,13.02,12.98,1710000.0,0.004629629629629539
25,2011-08-19,12.96,12.94,12.98,12.9,3060000.0,0.0046511627906977715
26,2011-08-22,12.9,12.9,12.92,12.84,2330000.0,-0.009216589861751112
27,2011-08-23,13.02,12.9,13.06,12.86,3880000.0,-0.003062787136294043
28,2011-08-24,13.06,13.0,13.1,13.0,3930000.0,-0.001529051987767538
29,2011-08-25,13.08,13.1,13.1,12.98,3590000.0,0.006153846153846176
30,2011-08-26,13.0,13.08,13.08,12.96,2150000.0,-0.004594180704441064
31,2011-08-29,13.06,13.08,13.08,13.0,812300.0,-0.004573170731707266
32,2011-09-02,13.12,13.28,13.28,13.08,3320000.0,0.006134969325153339
33,2011-09-05,13.04,13.12,13.12,13.04,2670000.0,0.003076923076922977
34,2011-09-06,13.0,13.02,13.02,12.82,3700000.0,0.0
