,Date,Close,Open,High,Low,Volume,Change
0,2011-09-20,3.22,3.28,3.3,3.21,3040000.0,-0.02127659574468077
1,2011-09-21,3.29,3.24,3.3,3.24,1140000.0,0.04113924050632911
2,2011-09-22,3.16,3.24,3.24,3.16,2480000.0,0.0031746031746031633
3,2011-09-23,3.15,3.19,3.19,3.11,3220000.0,0.03618421052631571
4,2011-09-26,3.04,3.12,3.13,3.02,4740000.0,-0.052959501557632405
5,2011-09-27,3.21,3.07,3.22,3.07,4970000.0,0.0031249999999998224
6,2011-09-28,3.2,3.21,3.22,3.1,2760000.0,0.0
7,2011-09-29,3.2,3.2,3.23,3.15,725100.0,-0.030303030303030165
8,2011-09-30,3.3,3.2,3.3,3.11,4980000.0,0.021671826625387025
9,2011-10-03,3.23,3.25,3.26,3.2,2680000.0,-0.015243902439024293
10,2011-10-04,3.28,3.21,3.32,3.19,4130000.0,0.015479876160990669
11,2011-10-05,3.23,3.28,3.31,3.23,2280000.0,-0.035820895522388096
12,2011-10-06,3.35,3.25,3.38,3.25,3340000.0,-0.0029761904761904656
13,2011-10-07,3.36,3.38,3.43,3.35,2230000.0,0.009009009009008917
14,2011-10-10,3.33,3.38,3.38,3.31,763300.0,-0.014792899408283988
15,2011-10-11,3.38,3.39,3.45,3.37,3300000.0,-0.011695906432748537
16,2011-10-12,3.42,3.38,3.43,3.37,1840000.0,0.008849557522123908
17,2011-10-13,3.39,3.43,3.46,3.38,1290000.0,0.0
18,2011-10-14,3.39,3.4,3.4,3.38,642800.0,-0.00877192982456132
19,2011-10-17,3.42,3.4,3.46,3.4,607600.0,0.04268292682926833
20,2011-10-18,3.28,3.42,3.43,3.26,2069999.9999999998,-0.020895522388059806
21,2011-10-19,3.35,3.33,3.37,3.32,2080000.0,-0.0029761904761904656
22,2011-10-20,3.36,3.35,3.37,3.35,1740000.0,0.0029850746268655914
23,2011-10-21,3.35,3.37,3.41,3.33,1290000.0,0.0
24,2011-10-24,3.35,3.42,3.42,3.35,839700.0,-0.014705882352941124
25,2011-10-25,3.4,3.35,3.42,3.35,1240000.0,-0.02857142857142858
26,2011-10-27,3.5,3.4,3.54,3.4,5080000.0,-0.008498583569405027
27,2011-10-28,3.53,3.56,3.58,3.5,2089999.9999999998,0.0028409090909089496
28,2011-10-31,3.52,3.5,3.52,3.44,1630000.0,0.005714285714285783
29,2011-11-01,3.5,3.46,3.5,3.46,600300.0,0.014492753623188248
30,2011-11-02,3.45,3.45,3.46,3.39,2480000.0,0.0
31,2011-11-03,3.45,3.45,3.45,3.42,743100.0,-0.0028901734104045396
32,2011-11-04,3.46,3.42,3.49,3.42,1070000.0,-0.005747126436781658
33,2011-11-08,3.48,3.49,3.5,3.48,1760000.0,0.0
34,2011-11-09,3.48,3.48,3.5,3.47,1020000.0,0.014577259475218707
35,2011-11-10,3.43,3.37,3.43,3.37,2110000.0,0.008823529411764675
36,2011-11-11,3.4,3.4,3.45,3.4,1220000.0,-0.017341040462427793
37,2011-11-14,3.46,3.52,3.52,3.45,644700.0,-0.011428571428571455
